IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
9031,천하열쇠,철물/난방/건설자재소매,시흥시,장곡동,경기도 시흥시 장곡로 50,126.7832184,37.37956786
9032,파티가요주점,유흥주점,시흥시,신천동,경기도 시흥시 호현로22번길 9-1,126.7856157,37.44162072
9033,썬파워로빅,학원-음악미술무용,시흥시,정왕1동,경기도 시흥시 중심상가로 228,126.7392885,37.3422096
9034,청룡화물,운송/배달/택배,시흥시,신천동,경기도 시흥시 시흥대로 1053,126.7921077,37.43002771
9035,티켓나라,기타서비스업,시흥시,정왕본동,경기도 시흥시 마유로 416,126.741265,37.35158359
9036,차이나,중식,시흥시,장곡동,경기도 시흥시 섬말길 60,126.7846641,37.38723267
9037,부국식당,일식/수산물,시흥시,신현동,경기도 시흥시 미산로143번길 12,126.7930924,37.4172519
9038,태백산고추장양념갈비,닭/오리요리,시흥시,정왕1동,경기도 시흥시 중심상가3길 26,126.735601,37.34405345
9039,바게뜨베이커리,제과제빵떡케익,시흥시,신천동,경기도 시흥시 신천5길 22,126.7799351,37.43792199
9040,MISS.콩,커피점/카페,시흥시,정왕1동,경기도 시흥시 정왕대로266번길 4,126.7413946,37.34314209
9041,오가네,한식,시흥시,장곡동,경기도 시흥시 장곡로49번길 6,126.7831249,37.37906231
9042,청구2차세탁소,세탁/가사서비스,시흥시,대야동,경기도 시흥시 비둘기공원7길 47,126.7924476,37.44192499
9043,짱포차,유흥주점,시흥시,정왕2동,경기도 시흥시 서촌상가2길 26,126.7325409,37.34616521
9044,예손지압안마원,요가/단전/마사지,시흥시,연성동,경기도 시흥시 새재로7번길 6-1,126.801173,37.38088657
9045,병천순대,한식,시흥시,신천동,경기도 시흥시 호현로21번길 13,126.782944,37.44261141
9046,오이도민박하숙,모텔/여관/여인숙,시흥시,정왕3동,경기도 시흥시 오이도로157번길 8,126.6890702,37.34661952
9047,도깨비식당,한식,시흥시,정왕본동,경기도 시흥시 봉우재로61번길 4-1,126.7459269,37.34816405
9048,처갓집양념치킨,닭/오리요리,시흥시,월곶동,경기도 시흥시 월곶중앙로 38,126.7413228,37.38798667
9049,아방궁가요주점,유흥주점,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9050,대성슈퍼마켓,종합소매점,시흥시,신천동,경기도 시흥시 신천8길 6,126.7805118,37.43650429
9051,고려식당,한식,시흥시,정왕1동,경기도 시흥시 마유로10번길 69,126.7191719,37.31928692
9052,아이리스노래방,무도/유흥/가무,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9053,즐겨찾기,유흥주점,시흥시,정왕3동,경기도 시흥시 옥구상가2길 4,126.7239905,37.35390342
9054,DC성원마트,종합소매점,시흥시,은행동,경기도 시흥시 은행로149번길 1,126.7993847,37.44414015
9055,해법영어거모군자교습소,학원-어학,시흥시,군자동,경기도 시흥시 도일로112번안길 24,126.7855907,37.34236961
9056,대야추어탕,한식,시흥시,대야동,경기도 시흥시 비둘기공원7길 39,126.7923824,37.44246495
9057,특급가요주점,유흥주점,시흥시,정왕3동,경기도 시흥시 옥구천서로373번길 8,126.7268611,37.35569141
9058,오이도건어물,음/식료품소매,시흥시,정왕3동,경기도 시흥시 오이도로 173,126.6880745,37.34546415
9059,대한공인중개사사무소,부동산중개,시흥시,장곡동,경기도 시흥시 진말로 10,126.7861665,37.37739959
9060,매니아당구장,PC/오락/당구/볼링등,시흥시,능곡동,경기도 시흥시 승지로 54,126.8103415,37.36874281
9061,팜므헤어뷰티,이/미용/건강,시흥시,대야동,경기도 시흥시 소래산길 6,126.7861524,37.44826692
9062,첨추공,음/식료품소매,시흥시,월곶동,경기도 시흥시 월곶고잔2길 1,126.7513091,37.3836774
9063,J앤Y유통,음/식료품소매,시흥시,신현동,경기도 시흥시 신현로12번길 8,126.7869655,37.40839495
9064,팔도타이어,자동차/자동차용품,시흥시,매화동,경기도 시흥시 매화2로 20,126.8133419,37.41690726
9065,올라와,한식,시흥시,정왕1동,경기도 시흥시 중심상가4길 10,126.738235,37.34446902
9066,임회자동차공업사,자동차/이륜차,시흥시,대야동,경기도 시흥시 서해안로1661번길 14,126.7913252,37.45198719
9067,페리카나치킨시화3,닭/오리요리,시흥시,정왕3동,경기도 시흥시 정왕대로53번길 29,126.7247415,37.35755177
9068,M.K,화장품소매,시흥시,능곡동,경기도 시흥시 시흥대로268번길 53,126.8117427,37.36436875
9069,유토피아,학원-어학,시흥시,대야동,경기도 시흥시 은행로173번길 17,126.7967745,37.44482543
9070,팬톰상사,자동차/이륜차,시흥시,과림동,경기도 시흥시 부라위길 9,126.8345212,37.43600399
